frame_index,unix_ms,read_us,is_dup,pll_a,pll_b,overload_a,overload_b
606,1780760344014,12264,0,0,0,0,0
607,1780760344064,13276,0,0,0,0,0
608,1780760344114,14429,0,0,0,0,0
609,1780760344165,14225,0,0,0,0,0
610,1780760344214,13232,0,0,0,0,0
611,1780760344265,13312,0,0,0,0,0
612,1780760344315,11775,0,0,0,0,0
613,1780760344363,14359,0,0,0,0,0
614,1780760344412,13710,0,0,0,0,0
615,1780760344462,14488,0,0,0,0,0
616,1780760344513,11684,0,0,0,0,0
617,1780760344561,14142,0,0,0,0,0
618,1780760344610,13744,0,0,0,0,0
619,1780760344661,13535,0,0,0,0,0
620,1780760344711,14237,0,0,0,0,0
621,1780760344761,12370,0,0,0,0,0
622,1780760344811,13503,0,0,0,0,0
623,1780760344861,12120,0,0,0,0,0
624,1780760344909,14345,0,0,0,0,0
625,1780760344960,14460,0,0,0,0,0
626,1780760345010,12901,0,0,0,0,0
627,1780760345060,13317,0,0,0,0,0
628,1780760345111,13261,0,0,0,0,0
629,1780760345160,12146,0,0,0,0,0
630,1780760345210,13296,0,0,0,0,0
631,1780760345261,13856,0,0,0,0,0
632,1780760345312,13214,0,0,0,0,0
633,1780760345361,12379,0,0,0,0,0
634,1780760345411,13352,0,0,0,0,0
635,1780760345462,13257,0,0,0,0,0
636,1780760345512,12062,0,0,0,0,0
637,1780760345561,13771,0,0,0,0,0
638,1780760345609,13168,0,0,0,0,0
639,1780760345659,11888,0,0,0,0,0
640,1780760345707,14475,0,0,0,0,0
641,1780760345756,13399,0,0,0,0,0
642,1780760345806,14380,0,0,0,0,0
643,1780760345855,13363,0,0,0,0,0
644,1780760345904,12556,0,0,0,0,0
645,1780760345953,14511,0,0,0,0,0
646,1780760346003,12711,0,0,0,0,0
647,1780760346052,12003,0,0,0,0,0
648,1780760346101,13186,0,0,0,0,0
649,1780760346152,13386,0,0,0,0,0
650,1780760346203,13530,0,0,0,0,0
651,1780760346253,14566,0,0,0,0,0
652,1780760346304,14520,0,0,0,0,0
